,result,table,_time,_value,_field,_measurement,asset_id
,_result,0,2026-08-28T05:58:20Z,31.376491846353357,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T05:59:27Z,31.44354429244735,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:00:44Z,31.490481004713143,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:01:55Z,31.5233367032992,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:03:06Z,31.54633569230944,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:04:13Z,31.56243498461661,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:05:19Z,31.573704489231623,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:06:28Z,31.551593142462135,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:07:34Z,31.536115199723493,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:08:41Z,31.525280639806443,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:09:49Z,31.51769644786451,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:10:55Z,31.392387513505156,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:12:01Z,31.39467125945361,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:13:09Z,31.426269881617525,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:14:15Z,31.298388917132264,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:15:21Z,31.23887224199258,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:16:28Z,31.317210569394806,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:17:34Z,31.252047398576366,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:18:42Z,31.326433179003455,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:19:48Z,31.348503225302416,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:20:55Z,31.363952257711688,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:22:03Z,31.314766580398178,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:23:11Z,31.340336606278726,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:24:19Z,31.238235624395102,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:25:26Z,31.16676493707657,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:26:33Z,31.116735455953595,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:27:39Z,31.111714819167517,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:28:47Z,31.22820037341726,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:29:55Z,31.30974026139208,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:31:02Z,31.13953818297445,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:32:11Z,31.217676728082118,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:33:19Z,31.152373709657482,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:34:26Z,31.106661596760233,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:35:33Z,31.074663117732158,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:36:39Z,31.052264182412507,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:37:46Z,31.06658492768875,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:38:52Z,31.076609449382126,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:39:59Z,31.203626614567487,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:41:05Z,31.172538630197238,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:42:13Z,31.180777041138064,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:43:19Z,31.306543928796643,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:44:26Z,31.33458075015765,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:45:34Z,31.41420652511035,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:46:41Z,31.469944567577244,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:47:48Z,31.50896119730407,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:48:55Z,31.53627283811285,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:50:03Z,31.555390986678994,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:51:10Z,31.71877369067529,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:52:17Z,31.833141583472703,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:53:23Z,31.913199108430888,air_temperature,asset_processed,maize_farm_001
,_result,0,2026-08-28T06:54:31Z,31.87923937590162,air_temperature,asset_processed,maize_farm_001
